,text,labels,CNN_olid_small,CNN_hasoc,BiLSTM_olid_small,BiLSTM_hasoc,roberta_olid_small,hateBERT_olid_small,roberta_hasoc,hateBERT_hasoc,NB_olid_small,SVM_olid_small,NB_hasoc,SVM_hasoc, category
30899,    *    voice in my head while I transfer money to my credit card    *         “    bullshit that I bought and have to pay for    ”    ,1,1,1,0,1,1,1,1,1,1,1,0,1, lack of context
40110,    #    Kids Beating     #    Paraplegic     #    Trump     #    Boy    !          #    Left Teach Their     #    Children Hate Violence    !          #    schools     #    teachers     #    Democrats     #    Liberals     #    WalkAway     #    Moms     #    Mother     #    NEA     #    teachthemyoung     #    Christian     #    Catholic     #    Jews     #    Evangelicals     #    family     #    BlackWomen     #    BlackTwitter     #    Blacks     #    News     #    Media     #    Disabled     #    MAGA URL,1,1,0,1,0,1,0,1,0,1,1,0,1, lack of context
54053,Are you fucking serious    ?       URL,0,1,1,1,1,1,1,1,1,1,1,1,1, grey area
15998,    *    gets all the bitches    *    ,1,1,0,1,0,1,1,1,1,1,1,0,0,grey area
62945,    @    USER     @    USER     @    USER I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti    -    fascist then I said they are the fascist are you kidding me    ?        !    ,0,0,1,1,1,1,1,1,1,1,0,1,1, sarcasm
96457,    #    Antifa    :     Take note of how to protest with civility    .       This is why socialism     (    aka communism    )     will never win    .     It is inherently evil and unsustainable    .     URL,1,1,1,1,1,0,1,0,0,0,1,0,0, possible interpretations
46139,"    #    Conservatism101   It    '    s not about our disagreements with     #    Conservatives    .     Its that Conservatives can    '    t debate honestly    ,     and they have no integrity    .     Whatever gets them thru today    ,     is all that matters to them    .     They    '    re fundamentally dishonest people    .     URL",1,0,0,1,1,1,1,0,0,0,0,0,0, sarcasm
91217,    @    USER My only point of contention is this    .      He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy    .     Wilks hasn    '    t even been able to get his defense to line up correctly    .     He is in over his head    .    ,0,0,0,0,1,1,1,1,1,0,0,1,1, lack of context
40386,    @    USER     @    USER     @    USER     @    USER Then why aren    ’    t there so many shootings in Virginia    ?      Jacksonville shooter got his guns IN MARYLAND    !        !     Among the poster children for gun control    !      What good did that do    ?        !      You    ’    re full of crap    .    ,1,1,0,1,1,1,1,1,1,1,0,0,0,lack of context
39752,    @    USER Well she is Chuck Schumer    '    s cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon    .     Or part of the Deep State    .     Or a Zionist plot    .     Or     '    Big comedy    '        .     Or whatever the hell today    '    s conspiracy theory is    .    ,0,1,1,1,1,1,1,1,1,0,0,1,,possible interpretations
98916,"    #    ANTIFA are bedfellows with The Democratic Socialists of America     (    DSA    )     who     #    JamesOKeefe has exposed as being inserted throughout government    ,     attempting to bring down     #    America      #    Trump     #    MAGA🇺🇸     #    DeepState  URL",1,0,0,0,0,0,0,1,1,0,0,1,1, possible interpretations
32190,    @    USER Antifa has TS level influence    .     It    '    s scary    .    ,1,0,0,0,0,0,1,0,0,0,0,0,0,lack of context
73516,"    $    10 Million reallocated from FEMA to ICE    .     This guy gives zero shits about anyone not named Trump    .     If you    ’    re in the mid Atlantic    ,     get out    .     Now    .     URL",1,0,0,0,0,1,1,1,1,0,1,0,0,grey area
23786,"6ix9ine aus den speakern    ,     fick deine political correctness",0,0,1,0,0,1,1,0,0,0,1,0,0, grey area
42112,    #    SesameStreet     #    BertandErnie the conversation about this is so unattractive    .     The creator says he didn    '    t create a character gay and he is being attacked    .    ,1,0,0,0,0,1,1,0,0,1,1,0,1, possible interpretations
37740,    #    SerenaWilliams is so full of herself    .        .        .    she is just as painful to watch as to listen to    .        .        .    ,1,0,0,0,0,0,1,0,0,0,0,0,0, grey area
97383,    @    USER     #    GoodbyeNFL 👋 It was great before your players became Marxists    !     I    ’    ll keep nixing any sports league that displays such support of the BS     ‘    oppression    ’     narrative    .         #    GoodbyeNIKE,0,1,1,0,0,0,0,0,0,1,1,0,0
21397,    #    Liberals     #    Left     #    Democrats     #    Resist     #    Resistance     #    Antifa     #    BlueWave     #    BlueWave2018 It    '    s 👌 to     #    WalkAway 👍😆 🇺🇸 🇺🇸 🇺🇸     #    MAGA 🇺🇸 🇺🇸 🇺🇸   URL,0,0,1,0,1,0,0,0,0,0,0,0,0, sarcasm
47445,"    .     JEFF SESSIONS    :         ‘    LISTEN TO THE ACLU    ,     ANTIFA    ,     BLACK LIVES MATTER    ’     IF YOU WANT MORE CHICAGO SHOOTINGS      .     URL",1,0,0,0,0,0,0,0,0,0,0,0,0, sarcasm
27158,Amazon will ship live Christmas trees to your door     —     but will they stay and put on the damn lights    ?     URL,1,1,0,1,1,0,1,0,0,1,0,0,0, sarcasm
17183,    @    USER I BET she is a lot safer when she has sex now tho     ?     Or she wouldn    ’    t have just one but a few kids     .     Why cant moms get dicked down too     ?    ,1,0,1,0,1,1,0,1,1,1,0,1,1, sarcasm
42325,    #    Conservatives Govt     '         @    USER made my life hell    '        :     whistleblowers say they were threatened by regulator    ;     I thought this Govt promised to protect whistleblowers    ?      URL,1,1,0,0,0,0,0,0,0,0,0,0,0, grey area
90362,    #    SerenaWilliams Serena was caught cheating with her coach but because it    '    s collaborative she thinks she is not a thief    .     In her mind the real thief is the umpire who spotted what was going on and called it out    .     It    '    s like a couple of bank robbers blaming a guard for calling police,0,1,1,1,1,1,1,0,0,1,1,0,1, sarcasm
58026,    #    MAGA     #    Qanon     #    GreatAwakening     #    inners     #    WWG1WGA     #    NowComesThePain     #    WalkAway     #    GoodbyeDemocrats   Ellison Accuser Says She    '    s Been Sidelined By Her Own Party URL,1,0,0,0,0,0,0,0,0,0,0,0,0, sarcasm
96661,    #    ConstitutionDay Enforce U    .    S     #    Immigration laws Not One Set of laws for Illegal Aliens and one Set of laws for Citizens     !          #    Trump     #    MAGA     #    RedNationRising      #    NoDACA URL,0,0,0,0,0,0,0,0,0,0,0,0,0, clearly NO
30942,    #    media     #    credentials If you are POC and had a problem with     @    USER  please send DM me do not like this tweet,0,0,1,0,1,0,0,0,0,0,0,0,0,  clearly NO
38084,"5    .     FED Agency     -     Hijaked with info on FED Agency by extremist group secretly funded     -     Antifa    ,    BLM    ,    Soros    ,    CIA",0,0,0,0,0,0,0,0,0,1,1,1,1,clearly NO
69203,    #    Eagles are setting up a workout with Jeremy Maclin according to     @    USER It can    '    t be this week though because he is still hurting    .    ,0,0,0,0,0,0,0,0,0,0,0,0,0,clearly NO
80059,    #    CognitiveDissonanceChallenge2018  This one will be painful for conservatives    .     Proceed with caution    .     URL,0,0,0,0,0,0,0,0,0,0,0,0,0,clearly NO
76394,    (    NAB    )    JESUS WON    '    T REJECT U    -    COME TO HIM     -    HOMEWARD BOUND TOWARDS HEAVENS KINGDOM HE IS OPEN DOOR TO ONLY    -    ,0,0,0,0,0,0,0,1,1,0,0,1,1,clearly NO
19563,"    #    Antifa     #    UKLabour    ,         #    FBPE    ,         #    SUTR  Pay Attention    !      This is what     #    ForBritain is fighting against     -     you    ?     URL",0,0,0,0,0,0,1,0,0,0,0,0,0,clearly NO
59758,    #    Censorship  Awake yet    ?      Ask yourself why these conservatives are being censored    ?         #    WalkAway URL,0,1,0,1,0,0,0,0,0,0,0,0,0,clearly NO
57295,"    #    WCW to     @    USER   I mean hey    ,     she is a great friend and I am more than happy to help with missions and anything else she might need    !    ",0,0,1,0,0,0,0,0,0,0,0,0,1,clearly NO
31401,    @    USER She Is A ChiCom Spy    .        .        .        .        .         #    ClubGITMO,0,0,0,0,0,0,0,1,1,0,0,0,0,clearly NO
22248,    #    Interesting  Has she gone through any kind of background check similar to the 6     #    FBI background checks that     #    JudgeKavanaugh has    ?     URL,0,0,0,0,0,0,0,0,0,0,0,1,1,clearly NO
83416,"    #    ChristineBlaseyFord was grinding     #    Kavanaugh at a party almost 40yrs ago    .        .        .        .        .    You gotta love the age    ,     of this ridiculous     #    MeToo movement   Just swear     #    Kavanaugh in already and get this over with    ,     before     #    liberals have an anxiety attack like 11    /    8    /    16 URL",1,0,1,1,1,1,1,1,0,0,0,0,1, clearly O
71350,    #    NoOneAskMe But here    '    s my opinion     #    offset keeping this beef up between     #    cardiB and     @    USER he know Cardi slow and believe everything he says    .        .     She is his meal ticket    .     I just think     #    offset need to sit his ugly ass down    .    ,1,1,1,1,1,1,1,1,1,1,1,1,1,clearly O
39400,    #    Conservatives have no genetic ability to understand     #    hypocrisy or     #    irony    .     Right wing ideology gets ya all twisted in knots    .         #    onpoli      #    Ontario      #    PartyOfYesteryear      @    USER      #    FraudNation URL,1,1,1,1,1,1,1,1,0,0,0,0,0,clearly O
60713,    #    Conservatives are going to make hay out of     #    Trudeau    ’    s answer but the truth is there    ’    s criminals everywhere and people who will commit heinous acts of violence    .     Whether they    ’    re from Syria and have brownskin or are white Canadian born it    ’    s tragic all around    .     URL,0,1,1,1,1,1,1,1,1,0,0,0,0, clearly O
51762,    #    auspol  I don    '    t know why he is still in his job    .     Seriously    .     URL,1,0,0,0,0,0,0,0,0,0,0,0,1, clearly O
41821,    @    USER oh fuck off 😂😂,1,1,1,1,1,1,1,1,1,1,1,1,1, clearly O
34030,    $    1500 for a phone    .     You all are fucking dumb    .    ,1,1,1,1,1,1,1,1,1,1,1,1,1, clearly O
41590,    @    USER     #    Rosie makes me nauseous    !    🤮 URL,1,0,0,0,0,0,1,0,0,0,0,0,0, clearly O
65545,    #    GreatestThingsAboutThe90s liberals weren    ’    t unhinged,1,1,0,0,0,0,0,0,0,1,1,0,0, clearly O







